SM_revenue,reg_revenue,im_revenue,im_special_revenue_DK1,Deg_cost,Deg_cost_by_cycle
1397521.5,0.0,0.0,0.0,0.0,0.0
272558.0,0.0,0.0,0.0,0.0,0.0
755422.5,0.0,0.0,0.0,0.0,0.0
1993607.5,0.0,0.0,0.0,0.0,0.0
393058.0,0.0,0.0,0.0,0.0,0.0
1476438.5,0.0,0.0,0.0,0.0,0.0
185544.5,0.0,0.0,0.0,0.0,0.0
1543706.5,0.0,0.0,0.0,0.0,0.0
260442.95228,0.0,0.0,0.0,0.0,0.0
205188.0,0.0,0.0,0.0,0.0,0.0
336110.0,0.0,0.0,0.0,0.0,0.0
226310.5,0.0,0.0,0.0,0.0,0.0
2193495.0,0.0,0.0,0.0,0.0,0.0
261077.5,0.0,0.0,0.0,0.0,0.0
1355236.5,0.0,0.0,0.0,0.0,0.0
1605844.0,0.0,0.0,0.0,0.0,0.0
837740.5,0.0,0.0,0.0,0.0,0.0
251699.0,0.0,0.0,0.0,0.0,0.0
179856.0,0.0,0.0,0.0,0.0,0.0
282586.0,0.0,0.0,0.0,0.0,0.0
217893.0,0.0,0.0,0.0,0.0,0.0
220000.5,0.0,0.0,0.0,0.0,0.0
1277248.5,0.0,0.0,0.0,0.0,0.0
734419.5,0.0,0.0,0.0,0.0,0.0
372899.0,0.0,0.0,0.0,0.0,0.0
275066.5,0.0,0.0,0.0,0.0,0.0
1650704.0,0.0,0.0,0.0,0.0,0.0
2381086.0,0.0,0.0,0.0,0.0,0.0
318962.5,0.0,0.0,0.0,0.0,0.0
857428.5,0.0,0.0,0.0,0.0,0.0
1857570.5,0.0,0.0,0.0,0.0,0.0
368197.5,0.0,0.0,0.0,0.0,0.0
1285524.5,0.0,0.0,0.0,0.0,0.0
834710.5,0.0,0.0,0.0,0.0,0.0
1664777.5,0.0,0.0,0.0,0.0,0.0
255433.5,0.0,0.0,0.0,0.0,0.0
247364.0,0.0,0.0,0.0,0.0,0.0
291662.5,0.0,0.0,0.0,0.0,0.0
351032.0,0.0,0.0,0.0,0.0,0.0
903614.0,0.0,0.0,0.0,0.0,0.0
291897.5,0.0,0.0,0.0,0.0,0.0
820372.5,0.0,0.0,0.0,0.0,0.0
287025.0,0.0,0.0,0.0,0.0,0.0
353960.0,0.0,0.0,0.0,0.0,0.0
253029.5,0.0,0.0,0.0,0.0,0.0
1496788.0,0.0,0.0,0.0,0.0,0.0
363140.5,0.0,0.0,0.0,0.0,0.0
185452.0,0.0,0.0,0.0,0.0,0.0
278257.0,0.0,0.0,0.0,0.0,0.0
420617.706225,0.0,0.0,0.0,0.0,0.0
342150.5,0.0,0.0,0.0,0.0,0.0
360107.243221,0.0,0.0,0.0,0.0,0.0
686095.0,0.0,0.0,0.0,0.0,0.0
417153.560647,0.0,0.0,0.0,0.0,0.0
956049.0,0.0,0.0,0.0,0.0,0.0
961512.0,0.0,0.0,0.0,0.0,0.0
255016.5,0.0,0.0,0.0,0.0,0.0
322209.0,0.0,0.0,0.0,0.0,0.0
693385.0,0.0,0.0,0.0,0.0,0.0
241175.0,0.0,0.0,0.0,0.0,0.0
376945.690276218,0.0,0.0,0.0,0.0,0.0
290750.0,0.0,0.0,0.0,0.0,0.0
840340.0,0.0,0.0,0.0,0.0,0.0
1457612.0,0.0,0.0,0.0,0.0,0.0
771413.5,0.0,0.0,0.0,0.0,0.0
364011.5,0.0,0.0,0.0,0.0,0.0
741438.5,0.0,0.0,0.0,0.0,0.0
242936.59326420003,0.0,0.0,0.0,0.0,0.0
244798.0,0.0,0.0,0.0,0.0,0.0
284195.221291,0.0,0.0,0.0,0.0,0.0
216236.5,0.0,0.0,0.0,0.0,0.0
272251.5,0.0,0.0,0.0,0.0,0.0
651746.0,0.0,0.0,0.0,0.0,0.0
286628.0,0.0,0.0,0.0,0.0,0.0
1569027.0,0.0,0.0,0.0,0.0,0.0
817089.0,0.0,0.0,0.0,0.0,0.0
358399.0,0.0,0.0,0.0,0.0,0.0
197764.0,0.0,0.0,0.0,0.0,0.0
611905.5,0.0,0.0,0.0,0.0,0.0
245025.0,0.0,0.0,0.0,0.0,0.0
257328.5,0.0,0.0,0.0,0.0,0.0
.0,0.0
408343.0,0.0,0.0,0.0,0.0,0.0
773680.5,0.0,0.0,0.0,0.0,0.0
274642.0,0.0,0.0,0.0,0.0,0.0
1541146.0,0.0,0.0,0.0,0.0,0.0
261831.5,0.0,0.0,0.0,0.0,0.0
254817.21676088,0.0,0.0,0.0,0.0,0.0
793263.5,0.0,0.0,0.0,0.0,0.0
1549549.5,0.0,0.0,0.0,0.0,0.0
222456.5,0.0,0.0,0.0,0.0,0.0
670813.0,0.0,0.0,0.0,0.0,0.0
265749.0,0.0,0.0,0.0,0.0,0.0
191010.0,0.0,0.0,0.0,0.0,0.0
271146.0,0.0,0.0,0.0,0.0,0.0
690327.5,0.0,0.0,0.0,0.0,0.0
298916.5,0.0,0.0,0.0,0.0,0.0
268347.0,0.0,0.0,0.0,0.0,0.0
227109.5,0.0,0.0,0.0,0.0,0.0
1511020.5,0.0,0.0,0.0,0.0,0.0
243782.0,0.0,0.0,0.0,0.0,0.0
1832787.0,0.0,0.0,0.0,0.0,0.0
264847.0,0.0,0.0,0.0,0.0,0.0
262958.0,0.0,0.0,0.0,0.0,0.0
187525.5,0.0,0.0,0.0,0.0,0.0
185215.5,0.0,0.0,0.0,0.0,0.0
731816.5,0.0,0.0,0.0,0.0,0.0
242826.0,0.0,0.0,0.0,0.0,0.0
264625.0,0.0,0.0,0.0,0.0,0.0
1286662.5,0.0,0.0,0.0,0.0,0.0
295664.5,0.0,0.0,0.0,0.0,0.0
1588526.5,0.0,0.0,0.0,0.0,0.0
265243.5,0.0,0.0,0.0,0.0,0.0
267330.0,0.0,0.0,0.0,0.0,0.0
478198.0,0.0,0.0,0.0,0.0,0.0
255643.5,0.0,0.0,0.0,0.0,0.0
230953.91312202398,0.0,0.0,0.0,0.0,0.0
408310.0,0.0,0.0,0.0,0.0,0.0
442524.0,0.0,0.0,0.0,0.0,0.0
781999.5,0.0,0.0,0.0,0.0,0.0
376700.5,0.0,0.0,0.0,0.0,0.0
228901.5,0.0,0.0,0.0,0.0,0.0
246889.0,0.0,0.0,0.0,0.0,0.0
838257.359166124,0.0,0.0,0.0,0.0,0.0
747276.0,0.0,0.0,0.0,0.0,0.0
238282.5,0.0,0.0,0.0,0.0,0.0
205161.5,0.0,0.0,0.0,0.0,0.0
793909.0,0.0,0.0,0.0,0.0,0.0
372748.36189866,0.0,0.0,0.0,0.0,0.0
338799.5,0.0,0.0,0.0,0.0,0.0
1159226.0,0.0,0.0,0.0,0.0,0.0
462698.5,0.0,0.0,0.0,0.0,0.0
252598.0,0.0,0.0,0.0,0.0,0.0
358160.0,0.0,0.0,0.0,0.0,0.0
226986.5,0.0,0.0,0.0,0.0,0.0
178163.499663586,0.0,0.0,0.0,0.0,0.0
242046.5,0.0,0.0,0.0,0.0,0.0
269051.5,0.0,0.0,0.0,0.0,0.0
870917.0,0.0,0.0,0.0,0.0,0.0
235355.5,0.0,0.0,0.0,0.0,0.0
735414.0,0.0,0.0,0.0,0.0,0.0
158392.34302,0.0,0.0,0.0,0.0,0.0
370355.0,0.0,0.0,0.0,0.0,0.0
290163.5,0.0,0.0,0.0,0.0,0.0
251610.5,0.0,0.0,0.0,0.0,0.0
266123.0,0.0,0.0,0.0,0.0,0.0
320542.5,0.0,0.0,0.0,0.0,0.0
248032.406885,0.0,0.0,0.0,0.0,0.0
1851711.767857258,0.0,0.0,0.0,0.0,0.0
312519.0,0.0,0.0,0.0,0.0,0.0
380536.5,0.0,0.0,0.0,0.0,0.0
257817.0,0.0,0.0,0.0,0.0,0.0
256064.0,0.0,0.0,0.0,0.0,0.0
180066.0,0.0,0.0,0.0,0.0,0.0
781378.5,0.0,0.0,0.0,0.0,0.0
310877.5,0.0,0.0,0.0,0.0,0.0
369816.0,0.0,0.0,0.0,0.0,0.0
