SM,dis_SM,cha_SM,w_SM,RT,Ref,dis_RT,cha_RT
500.0,0.0,0.0,7696.26,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7467.1245,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7510.5855,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7424.307,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7446.879,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7627.702499999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,9112.702500000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8217.99,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7592.6565,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7041.3255,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6739.029,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6383.916,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6281.0055,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6392.331,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6682.104,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7009.397999999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7025.188499999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7108.101,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6916.288500000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7137.5535,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7632.355500000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7651.017,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7118.000999999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6649.731,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6512.022,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6354.117,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6193.291499999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6182.5005,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6221.9025,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6509.349,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8607.653999999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8554.59,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8366.292,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8349.66,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8429.652,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8483.6565,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8637.7995,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8788.4775,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8746.006500000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8784.7155,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8698.585500000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8301.1005,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8118.495,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8008.505999999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7793.1315,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7703.487,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7676.4105,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7838.127,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7891.686,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7835.255999999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7966.530000000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8397.378,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8329.8105,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8350.947,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6252.642000000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6009.5475,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3516.9255,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2716.1639999999998,500.0,500.0,0.0,0.0
500.0,0.0,0.0,4326.3495,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7306.1505,500.0,500.0,0.0,0.0
500.0,0.0,0.0,9141.9075,500.0,500.0,0.0,0.0
500.0,0.0,0.0,10935.7875,500.0,500.0,0.0,0.0
500.0,0.0,0.0,11548.449,500.0,500.0,0.0,0.0
500.0,0.0,0.0,11979.396,500.0,500.0,0.0,0.0
500.0,0.0,0.0,12521.421,500.0,500.0,0.0,0.0
500.0,0.0,0.0,12454.398,500.0,500.0,0.0,0.0
500.0,0.0,0.0,12684.4245,500.0,500.0,0.0,0.0
500.0,0.0,0.0,13218.4305,500.0,500.0,0.0,0.0
500.0,0.0,0.0,13528.251,500.0,500.0,0.0,0.0
500.0,0.0,0.0,13708.2825,500.0,500.0,0.0,0.0
500.0,0.0,0.0,13581.414,500.0,500.0,0.0,0.0
500.0,0.0,0.0,12773.475,500.0,500.0,0.0,0.0
500.0,0.0,0.0,11863.565999999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,11250.1125,500.0,500.0,0.0,0.0
500.0,0.0,0.0,11111.859,500.0,500.0,0.0,0.0
500.0,0.0,0.0,10989.396,500.0,500.0,0.0,0.0
500.0,0.0,0.0,10885.1985,500.0,500.0,0.0,0.0
500.0,0.0,0.0,10516.869,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6705.220499999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6783.6285,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7005.042,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6922.6245,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6902.181,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6732.198,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6447.4245,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6235.02,500.0,500.0,0.0,0.0
500.0,0.0,0.0,5927.625,500.0,500.0,0.0,0.0
500.0,0.0,0.0,5360.9985,500.0,500.0,0.0,0.0
500.0,0.0,0.0,4919.1615,500.0,500.0,0.0,0.0
500.0,0.0,0.0,4314.1230000000005,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3720.915,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3060.3375,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2877.3360000000002,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2968.416,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2719.233,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2557.269,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2376.4455000000003,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2335.3605000000002,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2286.4545000000003,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2316.1545,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2538.1125,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2709.4815,500.0,500.0,0.0,0.0
500.0,0.0,0.0,755.6175,500.0,500.0,0.0,0.0
500.0,0.0,0.0,604.6425,500.0,500.0,0.0,0.0
500.0,0.0,0.0,518.5125,500.0,500.0,0.0,0.0
495.79200000000003,0.0,0.0,495.79200000000003,495.79200000000003,495.79200000000003,0.0,0.0
500.0,0.0,0.0,517.2255,500.0,500.0,0.0,0.0
500.0,0.0,0.0,589.8915,500.0,500.0,0.0,0.0
500.0,0.0,0.0,662.0625,500.0,500.0,0.0,0.0
500.0,0.0,0.0,788.337,500.0,500.0,0.0,0.0
500.0,0.0,0.0,958.914,500.0,500.0,0.0,0.0
500.0,0.0,0.0,1131.174,500.0,500.0,0.0,0.0
500.0,0.0,0.0,957.7755000000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,870.408,500.0,500.0,0.0,0.0
500.0,0.0,0.0,835.659,500.0,500.0,0.0,0.0
500.0,0.0,0.0,963.2205,500.0,500.0,0.0,0.0
500.0,0.0,0.0,1204.038,500.0,500.0,0.0,0.0
500.0,0.0,0.0,1535.886,500.0,500.0,0.0,0.0
500.0,0.0,0.0,1838.826,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2146.6169999999997,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2536.281,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2792.592,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2897.928,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3038.409,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3380.4045,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3505.4415,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8538.2055,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8682.9435,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8182.4490000000005,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7807.684499999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7981.2315,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7698.042,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7722.495000000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7917.920999999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8171.361,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8108.248499999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7846.0965,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7618.0995,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7711.2585,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7963.758,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8275.2615,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8757.9855,500.0,500.0,0.0,0.0
500.0,0.0,0.0,9191.753999999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,9389.4075,500.0,500.0,0.0,0.0
500.0,0.0,0.0,9399.555,500.0,500.0,0.0,0.0
500.0,0.0,0.0,9437.3235,500.0,500.0,0.0,0.0
500.0,0.0,0.0,9541.6695,500.0,500.0,0.0,0.0
500.0,0.0,0.0,9601.4655,500.0,500.0,0.0,0.0
500.0,0.0,0.0,9458.1135,500.0,500.0,0.0,0.0
500.0,0.0,0.0,9612.405,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7522.514999999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8280.855,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8407.476,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8345.4525,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8073.7965,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8144.5815,500.0,500.0,0.0,0.0
