weather_year,portfolio_NPV_over_CAPEX,portfolio_NPV [MEuro],portfolio_IRR,portfolio_LCOE [Euro/MWh],portfolio_Revenues [MEuro],portfolio_CAPEX [MEuro],portfolio_OPEX [MEuro],portfolio_Wind CAPEX [MEuro],portfolio_Wind OPEX [MEuro],portfolio_PV CAPEX [MEuro],portfolio_PV OPEX [MEuro],portfolio_Batt CAPEX [MEuro],portfolio_Batt OPEX [MEuro],portfolio_Shared CAPEX [MEuro],portfolio_Shared OPEX [MEuro],portfolio_Mean Annual Electricity Sold [GWh],portfolio_GUF,portfolio_grid [MW],portfolio_wind [MW],portfolio_solar [MW],portfolio_Battery Energy [MWh],portfolio_Battery Power [MW],portfolio_Total curtailment [GWh],portfolio_Total curtailment with deg [GWh],portfolio_Awpp [km2],portfolio_Apvp [km2],portfolio_Plant area [km2],portfolio_Number of batteries used in lifetime,portfolio_Break-even PPA price [Euro/MWh],portfolio_Capacity factor wind [-],portfolio_AEP [GWh],portfolio_AEP with degradation [GWh],portfolio_lifetime_years,portfolio_input_rows_per_year,portfolio_input_rows_lifetime,portfolio_Mean Annual Wind Electricity [GWh],portfolio_Mean Annual Solar Electricity [GWh],portfolio_Mean Annual Battery Discharge [GWh],portfolio_Capacity factor solar [-],portfolio_CFADS [MEuro/yr],portfolio_CFADS degradation rate [-/yr],portfolio_Debt Amount [MEuro],portfolio_Annual Debt Service [MEuro/yr],portfolio_DSCR [-],portfolio_DSCR Avg [-],portfolio_LLCR [-],portfolio_DSCR Breach Years,portfolio_Debt Headroom [MEuro],portfolio_Debt Headroom [% of CAPEX]
1992,-0.9769016233277029,-1728.8772779870997,0.0,460.6053131989476,91.4340890150979,1768.808531146859,38.38568159992767,844.5999586468591,32.63507747492767,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,4090.6519498779207,0.46696940067099546,1000.0,480.0,605.0,0.0,0.0,3338.635275743491,1737.164772213163,95.2305372589477,9.68,104.8305372589477,0.0,576.8405832978845,,4160.1385407664475,4160.1385407664475,50.0,17520.0,438000.0,2611.128679121922,887.649776,0.0,0.1435740639269406,53.04840741517022,0.0026936417975354436,1238.1659718028013,107.9489517154399,0.9779235317661936,0.991236602149815,0.993916142133381,20.0,-731.1150936175047,-0.8138868961658985
1993,-0.975997351916559,-1726.53801001394,0.0,460.19974976789035,94.33104405690867,1768.808531146859,38.166805214672934,844.5999586468591,32.41620108967293,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,4075.251291639322,0.465211334662023,1000.0,480.0,605.0,0.0,0.0,3604.672934626608,1889.8435681920355,95.2305372589477,9.68,104.8305372589477,0.0,576.322119722473,,4150.845034367005,4150.845034367005,50.0,17520.0,438000.0,2561.4968457308228,933.2959324999999,0.0,0.1460785616438356,56.16423884223573,0.0026913608350470253,1238.1659718028013,107.9489517154399,1.0179034369196076,1.0309778143616057,1.0336092818365676,20.0,-701.3331427851954,-0.7908461744425983
1994,-0.9820610511687039,-1737.9443653190626,0.0,454.1382460632241,79.39679118400315,1768.808531146859,38.39549740312473,844.5999586468591,32.64489327812473,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,4135.981749963165,0.472144035383923,1000.0,480.0,605.0,0.0,0.0,3585.9828963136806,1869.183726878104,95.2305372589477,9.68,104.8305372589477,0.0,568.7271013326013,,4210.74909903829,4210.74909903829,50.0,17520.0,438000.0,2613.354484835538,932.2343935,0.0,0.14893538242009124,41.001293780878434,0.0026930436325364304,1238.1659718028013,107.9489517154399,0.7591730525190605,0.7696528052209831,0.7717620776117057,20.0,-846.2646305311966,-0.9448236613405849
1995,-0.979743835579798,-1733.4918163679035,0.0,463.687109548236,84.99870991639915,1768.808531146859,38.07755492225987,844.5999586468591,32.32695079725987,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,4044.366036936292,0.4616856206548279,1000.0,480.0,605.0,0.0,0.0,3537.218297111749,1846.800574568819,95.2305372589477,9.68,104.8305372589477,0.0,580.6937544653105,,4118.238059919046,4118.238059919046,50.0,17520.0,438000.0,2541.2586841859115,919.473923,0.0,0.1502037043378995,46.92115499413927,0.002692296872283129,1238.1659718028013,107.9489517154399,0.858247986698405,0.8696287580611223,0.8719193567587986,20.0,-789.6810124137451,-0.8859703674818669
1996,-0.9663055121094024,-1708.6853795867542,0.0,472.896786919806,117.67865586122304,1768.808531146859,37.785813600200335,844.5999586468591,32.03520947520033,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,3959.826921778175,0.4520350367326684,1000.0,480.0,605.0,0.0,0.0,3423.667246745311,1784.1724229330316,95.2305372589477,9.68,104.8305372589477,0.0,592.2350022407853,,4031.1938186954967,4031.1938186954967,50.0,17520.0,438000.0,2475.10418938783,896.3609074999999,0.0,0.14609165525114148,79.89284226102271,0.0026951851920975108,1238.1659718028013,107.9489517154399,1.4305551993211973,1.448176792365047,1.451723491423282,20.0,-474.5287995851413,-0.544784556594616
1997,-0.9735206195262487,-1722.810714105085,0.0,474.6635684656455,98.74880734279103,1768.808531146859,37.63868758996881,844.5999586468591,31.888083464968812,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,3937.7107728654387,0.449510362199251,1000.0,480.0,605.0,0.0,0.0,3443.457066211314,1795.051808957638,95.2305372589477,9.68,104.8305372589477,0.0,594.4445881565339,,4009.512845223744,4009.512845223744,50.0,17520.0,438000.0,2441.742282305853,906.3910155,0.0,0.14713646689497714,61.110119752822214,0.002691217150708606,1238.1659718028013,107.9489517154399,1.121571496988734,1.136605943698258,1.1396319029409412,20.0,-654.0590891178349,-0.7280679448717644
1998,-0.980575602436909,-1734.4481696279431,0.0,442.05956263174505,84.68925999084486,1768.808531146859,39.033569304066724,844.5999586468591,33.282965179066714,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,4277.825837550539,0.4883362828254041,1000.0,480.0,605.0,0.0,0.0,3595.5978415920285,1880.020627152436,95.2305372589477,9.68,104.8305372589477,0.0,553.5983543333688,,4353.026662636639,4353.026662636639,50.0,17520.0,438000.0,2758.041990718076,937.783847,0.0,0.14522283105022826,45.65569068677814,0.0026917809065889883,1238.1659718028013,107.9489517154399,0.8240749786698383,0.8345097886369548,0.8366100069298272,20.0,-801.7766590056938,-0.9070171061662885
1999,-0.9843543083743257,-1742.0833255673742,0.0,465.36046451202276,73.32932597040381,1768.808531146859,37.828441680672846,844.5999586468591,32.07783755567284,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,4015.0060630010926,0.45833402545674573,1000.0,480.0,605.0,0.0,0.0,3668.794320980148,1914.4706223798603,95.2305372589477,9.68,104.8305372589477,0.0,582.7815593680509,,4091.584887896289,4091.584887896289,50.0,17520.0,438000.0,2484.7704207874926,945.5964015,0.0,0.14983234018264835,35.500884289730976,0.0026929687607954514,1238.1659718028013,107.9489517154399,0.6617069548551788,0.6710331343341942,0.6729102206353694,20.0,-898.839016808955,-1.0030356456899225
2000,-0.9816801057358155,-1737.0030066192153,0.0,454.201248606558,80.62754664588314,1768.808531146859,38.37270147377619,844.5999586468591,32.62209734877619,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,4133.626908215869,0.47187521783286174,1000.0,480.0,605.0,0.0,0.0,3609.336951497136,1885.507585685847,95.2305372589477,9.68,104.8305372589477,0.0,568.8050774069236,,4209.047211643302,4209.047211643302,50.0,17520.0,438000.0,2608.185339858546,939.0953875,0.0,0.14591135844748854,42.254845172106954,0.0026923557721963416,1238.1659718028013,107.9489517154399,0.7759163194084695,0.7863400867797301,0.7884380855771278,20.0,-834.2828507805184,-0.9351226288186482
2001,-0.9791728423377166,-1732.8472030567941,0.0,473.20407534415585,85.26630830313783,1768.808531146859,37.492376595491955,844.5999586468591,31.741772470491952,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,3939.172551710175,0.4496772319303852,1000.0,480.0,605.0,0.0,0.0,3697.333244418253,1931.3594185021648,95.2305372589477,9.68,104.8305372589477,0.0,592.60608933499,,4016.4269284502625,4016.4269284502625,50.0,17520.0,438000.0,2408.5651860525973,950.2423110000002,0.0,0.14921255707762554,47.773931707645886,0.0026947259608630057,1238.1659718028013,107.9489517154399,0.8816633468417507,0.8937138465820595,0.8961392646055661,20.0,-781.5299443129552,-0.8715236134437658
