weather_year,wind_MW [MW],NPV_over_CAPEX,NPV [MEuro],IRR,LCOE [Euro/MWh],Revenues [MEuro],CAPEX [MEuro],OPEX [MEuro],Wind CAPEX [MEuro],Wind OPEX [MEuro],PV CAPEX [MEuro],PV OPEX [MEuro],Batt CAPEX [MEuro],Batt OPEX [MEuro],Shared CAPEX [MEuro],Shared OPEX [MEuro],Mean Annual Electricity Sold [GWh],GUF,grid [MW],wind [MW],solar [MW],Battery Energy [MWh],Battery Power [MW],Awpp [km2],Apvp [km2],Plant area [km2],Break-even PPA price [Euro/MWh],lifetime_years,price_added,CFADS [MEuro/yr],CFADS degradation rate [-/yr],Debt Amount [MEuro],Annual Debt Service [MEuro/yr],DSCR Min [-],DSCR Avg [-],DSCR P90 [-],LLCR [-],DSCR Breach Years,Debt Headroom [MEuro],Debt Headroom [% of CAPEX]
1992,1425.0,-0.17733309282802967,-689.5884345961986,0.040239400426616896,57.501589089389164,326.5381628174342,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6440.872709853644,0.49017296117607634,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,59.479478698505666,75.0,75.0,255.20589801743427,0.0,2722.063302,212.93807888152594,3.565141926458739,3.6098375483198675,1.188380642152913,3.6105121518859224,8.333333333333334,-3.406728627009443,0.005738569853256298
1993,1425.0,-0.17608226503989655,-684.7243882830571,0.04036529077902511,58.417486372360706,327.01824581795927,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6329.030642725919,0.4816613883353058,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,60.28213843533758,75.0,75.0,255.68598101795928,0.0,2722.063302,212.93807888152594,3.534859853832979,3.6200497420092086,1.1782866179443263,3.619215104469953,10.333333333333334,1.7074980240253126,0.011695682838705104
1994,1425.0,-0.2486726324709084,-967.0037815154191,0.032450349849091446,57.04193789014278,304.3961834623993,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6481.5205531010315,0.4932664043455883,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,58.83516299435478,75.0,75.0,233.06391866239926,0.0,2722.063302,212.93807888152594,3.24029253553293,3.3003120987248646,1.0800975118443101,3.301730939559512,22.666666666666668,-239.2807354140415,-0.1748179424104956
1995,1425.0,-0.18027674624273823,-701.0353073590345,0.039880390491711395,56.136763681994495,325.7142900630567,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6587.361187523578,0.501321247147913,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,57.9950691948205,75.0,75.0,254.38202526305668,0.0,2722.063302,212.93807888152594,3.5598490739966087,3.6041955037730844,1.1866163579988696,3.604073435125184,8.333333333333334,-12.183277667260995,0.0024473772009658973
1996,1425.0,0.039128475217945234,152.15740921997883,0.06149971030849931,57.23883884751609,393.8714432857088,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6464.684038430916,0.49198508663857815,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,58.957455213583586,75.0,75.0,322.5391784857087,0.0,2722.063302,212.93807888152594,4.503759282559755,4.577646780754243,1.501253094186585,4.577742086487624,0.0,713.8810259817667,0.5702939554399751
1997,1425.0,-0.08719654779754187,-339.07788974396806,0.049541486353506504,60.95633078190855,354.3552305073538,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6092.254648036132,0.46364190624323687,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,63.22474198189377,75.0,75.0,283.0229657073537,0.0,2722.063302,212.93807888152594,3.909354084606984,3.9853138662549634,1.303118028202328,3.9860362577741815,0.0,292.92284100540894,0.2247664219820616
1998,1425.0,-0.17526021383370322,-681.5277091105661,0.040506650410349385,54.26193035426996,327.1908742239642,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6815.776776131761,0.5187044730693882,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,56.03643892983587,75.0,75.0,255.85860942396417,0.0,2722.063302,212.93807888152594,3.5758610499112016,3.615105368878802,1.1919536833037339,3.6149696130146682,8.333333333333334,3.54647335485447,0.008811465179301297
1999,1425.0,-0.24259916619001567,-943.3861248309155,0.033133794418584994,55.42807456674103,306.3299841253617,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6672.106676474095,0.5077706755307531,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,57.10081608322289,75.0,75.0,234.9977193253617,0.0,2722.063302,212.93807888152594,3.261854842037539,3.3254641648673147,1.0872849473458464,3.3254179366714736,25.0,-218.68034990258786,-0.1601459038273999
2000,1425.0,-0.25577462789865896,-994.6210402652071,0.03156453450914035,58.07237072518135,302.26400474648796,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6378.915944959534,0.4854578344718062,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,59.84407271149809,75.0,75.0,230.93173994648794,0.0,2722.063302,212.93807888152594,3.2202981608927344,3.2707974403251336,1.0734327202975782,3.27058659538035,23.0,-261.9944020128529,-0.1920348264770052
2001,1425.0,-0.13773799710440904,-535.6164960127059,0.044269990310380994,56.01189577391969,338.9436222295395,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6599.729124307387,0.5022624904343521,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,57.66242778472951,75.0,75.0,267.61135742953945,0.0,2722.063302,212.93807888152594,3.7216500361868268,3.795450714147434,1.2405500120622757,3.7954518813471103,10.333333333333334,128.74610968289414,0.1140129165860027
