weather_year,wind_MW [MW],NPV_over_CAPEX,NPV [MEuro],IRR,LCOE [Euro/MWh],Revenues [MEuro],CAPEX [MEuro],OPEX [MEuro],Wind CAPEX [MEuro],Wind OPEX [MEuro],PV CAPEX [MEuro],PV OPEX [MEuro],Batt CAPEX [MEuro],Batt OPEX [MEuro],Shared CAPEX [MEuro],Shared OPEX [MEuro],Mean Annual Electricity Sold [GWh],GUF,grid [MW],wind [MW],solar [MW],Battery Energy [MWh],Battery Power [MW],Awpp [km2],Apvp [km2],Plant area [km2],Break-even PPA price [Euro/MWh],lifetime_years,price_added,CFADS [MEuro/yr],CFADS degradation rate [-/yr],Debt Amount [MEuro],Annual Debt Service [MEuro/yr],DSCR Min [-],DSCR Avg [-],DSCR P90 [-],LLCR [-],DSCR Breach Years,Debt Headroom [MEuro],Debt Headroom [% of CAPEX]
1992,2775.0,-0.1703143836126869,-1274.756740452564,0.040677145759597674,56.68248138188273,632.7709822335272,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12710.704796773192,0.4836645660872599,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,58.55855831478013,150.0,150.0,496.5137126335272,0.0,5239.309208000001,409.85396504118813,7.194110808869675,7.296790474345694,1.1990184681449458,7.2981564437528705,8.333333333333334,49.95048038209438,0.05646111003498849
1993,2775.0,-0.15114112172274724,-1131.2501010706262,0.04274623037963475,57.049351327294545,644.299705237696,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12574.608355116286,0.4784858582616547,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,58.835372909796654,150.0,150.0,508.0424356376959,0.0,5239.309208000001,409.85396504118813,7.324114374801495,7.474591128330841,1.2206857291335826,7.474599079963948,9.333333333333334,172.76362389235408,0.16017815819298978
1994,2775.0,-0.2536625536299809,-1898.5950756547898,0.031461367064759896,57.35626780390724,582.9286290150592,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12556.544336285464,0.4777984907262353,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,59.13872392805509,150.0,150.0,446.6713594150591,0.0,5239.309208000001,409.85396504118813,6.465178097335732,6.564807911270629,1.0775296828892886,6.566152017220736,19.666666666666668,-481.0099804161498,-0.37052871842546653
1995,2775.0,-0.18193042336872375,-1361.6996319587038,0.039565321388000035,56.04983308795209,625.7986950737644,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12793.078558614534,0.4867990319107509,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,57.871941042955136,150.0,150.0,489.5414254737645,0.0,5239.309208000001,409.85396504118813,7.113915113232,7.194940306526217,1.185652518872,7.195316025828149,12.5,-24.323877952045564,-0.002951487859706177
1996,2775.0,0.023204242816187885,173.67743293074432,0.06002868006198113,56.83288319322287,748.4915815874323,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12583.347134553183,0.4788183841154178,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,58.54865580952586,150.0,150.0,612.2343119874323,0.0,5239.309208000001,409.85396504118813,8.868882531174712,8.998233525324444,1.4781470885291188,8.998507499445193,0.0,1282.698510706474,1.0489695564392592
1997,2775.0,-0.11121682527398473,-832.427623917879,0.0468981806118208,59.973212027771574,667.8917690226422,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,11997.505726228821,0.4565260930832884,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,62.06599258761489,150.0,150.0,531.6344994226422,0.0,5239.309208000001,409.85396504118813,7.64215130746164,7.782454041882502,1.27369188457694,7.783687568546927,4.166666666666667,424.0850854519829,0.3397648577647928
1998,2775.0,-0.1940678384344451,-1452.544875551778,0.037956475443437915,55.09225145899851,618.5830215398439,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,13095.101395568094,0.4982915295117236,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,56.780176023637246,150.0,150.0,482.3257519398439,0.0,5239.309208000001,409.85396504118813,6.973668959860525,7.075795623054715,1.1622781599767542,7.075696916982832,12.5,-101.19098187362692,-0.07245255321808342
1999,2775.0,-0.26114509920370066,-1954.5998898314604,0.030771325346865958,56.2819390042064,578.367938688964,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12747.991775496697,0.4850834008940905,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,58.018469846779254,150.0,150.0,442.1106690889641,0.0,5239.309208000001,409.85396504118813,6.3796668859220755,6.488561015966053,1.0632778143203458,6.488870139667338,20.833333333333332,-529.5940877211847,-0.41500607401980216
2000,2775.0,-0.2256759512225496,-1689.1229846635185,0.03448949719804108,56.2919762900311,599.8777166911216,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12809.137718677077,0.48741011106077164,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,57.99430717170759,150.0,150.0,463.62044709112155,0.0,5239.309208000001,409.85396504118813,6.727175321239323,6.828225219143436,1.1211958868732206,6.827592229358633,15.666666666666666,-300.4547934821302,-0.2168686221663285
2001,2775.0,-0.18651003004297587,-1395.9767396978857,0.03884160636382291,58.14990692040646,623.0006020516118,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12356.360715171775,0.47018115354534906,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,59.831314456586746,150.0,150.0,486.7433324516118,0.0,5239.309208000001,409.85396504118813,7.012474310312267,7.141435860164287,1.1687457183853778,7.142594101352579,13.5,-54.13139434049822,-0.03416241490416583
2002,2775.0,-0.15263620522228932,-1142.4403935647401,0.042464123004690345,58.047134775332665,643.0997507771264,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12390.602746301927,0.47148412276643553,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,59.78638391686454,150.0,150.0,506.84248117712633,0.0,5239.309208000001,409.85396504118813,7.31327542888515,7.417857583299757,1.2188792381475249,7.418591484634599,8.333333333333334,159.9807528563844,0.12708359025819088
2003,2775.0,-0.20529273791176259,-1536.5601886808977,0.037200001467544666,60.93086652434792,611.707330713568,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,11740.988804767207,0.4467651752194523,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,62.78283782084637,150.0,150.0,475.45006111356804,0.0,5239.309208000001,409.85396504118813,6.907231945754054,6.973901914075005,1.1512053242923423,6.974400888795997,19.833333333333332,-174.4363190956465,-0.1318905501229133
2004,2775.0,-0.18251856500192898,-1366.1017117793615,0.03940206408345431,58.79814248664391,625.5090063442162,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12215.225126170124,0.46481069734285096,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,60.58664312770059,150.0,150.0,489.25173674421615,0.0,5239.309208000001,409.85396504118813,7.072862646439241,7.197837487685763,1.1788104410732068,7.1983507579694175,16.666666666666668,-27.409873122756025,-0.0012614655166379787
2005,2775.0,-0.19262992425627562,-1441.7824798460676,0.038223652628335485,55.57204155247843,619.5660146382278,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12952.015554070407,0.4928468627880673,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,57.31554841702083,150.0,150.0,483.30874503822776,0.0,5239.309208000001,409.85396504118813,6.9687255733939715,7.121340614312777,1.1614542622323285,7.122653865881442,12.5,-90.71935614216048,-0.045884641650880395
2006,2775.0,-0.12837950235450818,-960.885584006332,0.044896351506646504,58.70203073728772,658.0040968197482,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12230.774144346786,0.4654023647011714,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,60.58726084925032,150.0,150.0,521.7468272197482,0.0,5239.309208000001,409.85396504118813,7.582292239738154,7.674383076521084,1.2637153732896922,7.674251946110584,10.5,318.75372266381135,0.27672346130396563
2007,2775.0,-0.2508500146643183,-1877.5439880824251,0.031970894219690495,55.75299952865314,584.5608199024534,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12878.055287968946,0.4900325452042978,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,57.45711386320982,150.0,150.0,448.3035503024534,0.0,5239.309208000001,409.85396504118813,6.4852721528316835,6.587375935906696,1.080878692138614,6.588789644919041,20.833333333333332,-463.62258255628217,-0.3573640373877612
2008,2775.0,-0.260104391673064,-1946.8104776198893,0.030650127265266246,58.04182648088885,579.1280076977035,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12417.736616012984,0.4725166140035382,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,59.74012568650764,150.0,150.0,442.87073809770345,0.0,5239.309208000001,409.85396504118813,6.411113597367122,6.5131609461220155,1.0685189328945204,6.5148939817324285,16.5,-521.4972270182035,-0.40065611476215746
2009,2775.0,-0.0816919290487674,-611.4418229778424,0.04984110959019766,57.27032097641646,685.82863961482,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12505.601625733638,0.47586003142061023,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,59.223354152572625,150.0,150.0,549.57137001482,0.0,5239.309208000001,409.85396504118813,7.967503710340543,8.082246410869404,1.327917285056757,8.081523085539779,7.166666666666667,615.1629230724657,0.5146437396738197
2010,2775.0,0.05852043327338681,438.0094927220073,0.06299465276095752,59.26524916301577,769.458892430375,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12123.801122336812,0.46133185397019827,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,61.15493681116575,150.0,150.0,633.2016228303751,0.0,5239.309208000001,409.85396504118813,9.184861664704794,9.299876405533622,1.530810277450799,9.299883022441291,4.166666666666667,1506.0590125285235,1.2249279032279468
2011,2775.0,-0.20773214219431468,-1554.8184648517688,0.03637461728299537,57.36807038829744,610.6337957841685,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12619.102019636577,0.48017892007749535,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,59.06616801722211,150.0,150.0,474.3765261841685,0.0,5239.309208000001,409.85396504118813,6.838193367517106,6.985649369616457,1.1396988945861843,6.9851797460217595,15.666666666666666,-185.8724685546931,-0.12503786772373277
2012,2775.0,-0.17642158288030438,-1320.4674623924484,0.039899352131040566,56.85478643452196,629.1918530589819,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12650.549411427579,0.4813755483800448,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,58.641021446400316,150.0,150.0,492.9345834589818,0.0,5239.309208000001,409.85396504118813,7.118135436091801,7.257506092269985,1.1863559060153002,7.258416263089312,15.666666666666666,11.822744569875567,0.03354522049082409
2013,2775.0,-0.11817565870955979,-884.5125954835171,0.04599436068120817,56.90877264420981,664.0033466236264,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12602.063970725936,0.47953059249337654,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,58.74136871127636,150.0,150.0,527.7460770236263,0.0,5239.309208000001,409.85396504118813,7.553141119167525,7.752985975451773,1.2588568531945874,7.751958024252526,12.5,382.6625117683096,0.3225751523468679
2014,2775.0,-0.21212054680961764,-1587.6644772937495,0.03616750513674877,56.18114993622684,607.8734857568568,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12775.973053011423,0.4861481374814087,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,57.92926684402897,150.0,150.0,471.6162161568568,0.0,5239.309208000001,409.85396504118813,6.819424291371311,6.939304193038289,1.1365707152285518,6.939878725033551,13.5,-215.27749037666396,-0.15207255406099768
2015,2775.0,-0.254111181576936,-1901.9529335597153,0.03148986005740301,56.515326138184186,582.6668604830808,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12776.840494421424,0.4861811451454119,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,58.13651267976528,150.0,150.0,446.4095908830808,0.0,5239.309208000001,409.85396504118813,6.441110647093549,6.561720270264353,1.073518441182258,6.562880867205411,20.833333333333332,-483.7985473955713,-0.3723298423457935
