weather_year,portfolio_NPV_over_CAPEX,portfolio_NPV [MEuro],portfolio_IRR,portfolio_LCOE [Euro/MWh],portfolio_Revenues [MEuro],portfolio_CAPEX [MEuro],portfolio_OPEX [MEuro],portfolio_Wind CAPEX [MEuro],portfolio_Wind OPEX [MEuro],portfolio_PV CAPEX [MEuro],portfolio_PV OPEX [MEuro],portfolio_Batt CAPEX [MEuro],portfolio_Batt OPEX [MEuro],portfolio_Shared CAPEX [MEuro],portfolio_Shared OPEX [MEuro],portfolio_Mean Annual Electricity Sold [GWh],portfolio_GUF,portfolio_grid [MW],portfolio_wind [MW],portfolio_solar [MW],portfolio_Battery Energy [MWh],portfolio_Battery Power [MW],portfolio_Total curtailment [GWh],portfolio_Total curtailment with deg [GWh],portfolio_Awpp [km2],portfolio_Apvp [km2],portfolio_Plant area [km2],portfolio_Number of batteries used in lifetime,portfolio_Break-even PPA price [Euro/MWh],portfolio_Capacity factor wind [-],portfolio_AEP [GWh],portfolio_AEP with degradation [GWh],portfolio_lifetime_years,portfolio_input_rows_per_year,portfolio_input_rows_lifetime,portfolio_Mean Annual Wind Electricity [GWh],portfolio_Mean Annual Solar Electricity [GWh],portfolio_Mean Annual Battery Discharge [GWh],portfolio_Capacity factor solar [-],portfolio_CFADS [MEuro/yr],portfolio_CFADS degradation rate [-/yr],portfolio_Debt Amount [MEuro],portfolio_Annual Debt Service [MEuro/yr],portfolio_DSCR [-],portfolio_DSCR Avg [-],portfolio_LLCR [-],portfolio_DSCR Breach Years,portfolio_Debt Headroom [MEuro],portfolio_Debt Headroom [% of CAPEX]
1992,-0.9793358660176326,-2310.0068561164967,0.0,529.4563713695591,129.26098548452973,2358.7194105014323,64.41826271183217,1715.5936660014327,64.10462638683218,16.1257445,0.313636325,0.0,0.0,627.0,0.0,4873.043353100585,0.5562834877968703,1000.0,975.0,29.0,0.0,0.0,194.144660017119,174.45115890680276,180.56947940086894,0.464,180.56947940086894,0.0,662.0686943212461,0.5638465793043573,4880.021399456857,4880.021399456857,50.0,17520.0,438000.0,4808.305303136549,39.842511200000004,0.0,0.14196144406392688,64.84272277269756,8.632469612002147e-05,1651.1035873510027,143.95073478608722,0.9007081297657101,0.901067054362992,0.901138661233535,20.0,-1031.319485850912,-0.8741680936124923
1993,-0.9780325377829022,-2306.967721944315,0.0,533.6453697980999,133.10134061148085,2358.7194105014323,64.21305398936109,1715.5936660014327,63.89941766436108,16.1257445,0.313636325,0.0,0.0,627.0,0.0,4826.645444793609,0.5509869229216449,1000.0,975.0,29.0,0.0,0.0,201.88958913796424,181.61264381922408,180.56947940086894,0.464,180.56947940086894,0.0,667.3157538333429,0.5583021412107532,4833.90995054638,4833.90995054638,50.0,17520.0,438000.0,4761.772713007047,40.211455699999995,0.0,0.14137173515981735,68.88828662211975,8.691924009796015e-05,1651.1035873510027,143.95073478608722,0.957538121878355,0.9579099939075051,0.9579841838287677,20.0,-992.6509036529551,-0.8410021565319542
1994,-0.9858933544544087,-2325.530261759164,0.0,520.2431872850134,108.93102556600002,2358.7194105014323,64.75180611201162,1715.5936660014327,64.43816978701162,16.1257445,0.313636325,0.0,0.0,627.0,0.0,4948.405190472849,0.5648864372685902,1000.0,975.0,29.0,0.0,0.0,222.75345595449488,200.487890994212,180.56947940086894,0.464,180.56947940086894,0.0,650.528443546045,0.5725757639021065,4956.424706112619,4956.424706112619,50.0,17520.0,438000.0,4883.938727213519,40.9114255,0.0,0.14539769977168945,44.17921945398841,8.48352097591043e-05,1651.1035873510027,143.95073478608722,0.6149377320306155,0.6151552033652836,0.6151985892617176,20.0,-1228.826781821875,-1.0410325572752972
1995,-0.9812752902153477,-2314.57560183853,0.0,524.5718902015333,123.27554579569768,2358.7194105014323,64.51442347297676,1715.5936660014327,64.20078714797677,16.1257445,0.313636325,0.0,0.0,627.0,0.0,4896.73119328907,0.5589875791425878,1000.0,975.0,29.0,0.0,0.0,207.9772511417488,187.3813767735689,180.56947940086894,0.464,180.56947940086894,0.0,655.950956005024,0.5661091276088086,4904.226448360013,4904.226448360013,50.0,17520.0,438000.0,4830.110464393823,42.3016622,0.0,0.1506856107305936,58.76112232272092,8.636293991970412e-05,1651.1035873510027,143.95073478608722,0.8161694554303349,0.8164961726110305,0.8165613537586551,20.0,-1089.4490508875979,-0.9235199044079795
1996,-0.9635859863316477,-2272.7628997967586,0.0,521.5413876420826,179.02711622331833,2358.7194105014323,64.60814838185695,1715.5936660014327,64.29451205685695,16.1257445,0.313636325,0.0,0.0,627.0,0.0,4914.970336970112,0.561069673170104,1000.0,975.0,29.0,0.0,0.0,199.13390373600924,178.63861842546396,180.56947940086894,0.464,180.56947940086894,0.0,652.1543225368464,0.5683213740276307,4922.11588170713,4922.11588170713,50.0,17520.0,438000.0,4851.3632781988545,39.61060429999999,0.0,0.1427582020547945,114.41896784146138,8.024495790603936e-05,1651.1035873510027,143.95073478608722,1.5872218422594588,1.5878483171705873,1.5879732989363804,20.0,-557.4564648084072,-0.47338956838453067
1997,-0.9768065000444108,-2304.078379335726,0.0,585.0551591933587,135.20222021063176,2358.7194105014323,62.46784201497219,1715.5936660014327,62.15420568997219,16.1257445,0.313636325,0.0,0.0,627.0,0.0,4433.121916885819,0.5060641457632213,1000.0,975.0,29.0,0.0,0.0,169.60523048935866,152.6481281558291,180.56947940086894,0.464,180.56947940086894,0.0,731.710875701388,0.5122385363448331,4439.227842012052,4439.227842012052,50.0,17520.0,438000.0,4366.033036274872,41.5581675,0.0,0.1474623344748858,72.73437819565959,9.945062082483691e-05,1651.1035873510027,143.95073478608722,1.0108666591784263,1.0113158091800225,1.011405419626545,20.0,-955.8889308630472,-0.8098036501485366
1998,-0.9826860551766232,-2317.9595543167934,0.0,498.53278807190145,119.99783000281269,2358.7194105014323,65.74104256236947,1715.5936660014327,65.42740623736945,16.1257445,0.313636325,0.0,0.0,627.0,0.0,5173.190269307059,0.5905468343957829,1000.0,975.0,29.0,0.0,0.0,245.31420081649807,220.1510045437872,180.56947940086894,0.464,180.56947940086894,0.0,623.3347162613,0.5989627086888751,5181.996309488813,5181.996309488813,50.0,17520.0,438000.0,5108.25538262346,41.927535799999994,0.0,0.14442900114155247,54.25678744044323,8.328927936629427e-05,1651.1035873510027,143.95073478608722,0.7547431125426773,0.7550133009040894,0.7550672040414028,20.0,-1132.5026894223984,-0.95941790298333
1999,-0.9871865219495828,-2328.537597800822,0.0,526.5349166762621,104.58254422346806,2358.7194105014323,64.40658062390888,1715.5936660014327,64.09294429890888,16.1257445,0.313636325,0.0,0.0,627.0,0.0,4871.185065021243,0.5560713544544797,1000.0,975.0,29.0,0.0,0.0,222.65473535627035,200.67049949379063,180.56947940086894,0.464,180.56947940086894,0.0,658.4095287591933,0.5630858100706915,4879.211885000996,4879.211885000996,50.0,17520.0,438000.0,4805.656303607455,41.716050300000006,0.0,0.14701258561643832,40.17596359955918,8.498102774900929e-05,1651.1035873510027,143.95073478608722,0.558538206184121,0.5587489800742254,0.5587910298769283,20.0,-1267.0909728785946,-1.0739400955852272
2000,-0.984891829490791,-2323.162855823485,0.0,527.7501526468342,111.80568800047263,2358.7194105014323,64.4751604551019,1715.5936660014327,64.16152413010191,16.1257445,0.313636325,0.0,0.0,627.0,0.0,4885.660015989045,0.5577237461174709,1000.0,975.0,29.0,0.0,0.0,222.4561213218704,200.20564521683164,180.56947940086894,0.464,180.56947940086894,0.0,659.9314688955635,0.5653236794437495,4893.668241797717,4893.668241797717,50.0,17520.0,438000.0,4821.207285737393,40.770045100000004,0.0,0.14212627853881277,47.33052754537073,8.670772291219375e-05,1651.1035873510027,143.95073478608722,0.6585782814082854,0.6588199914235044,0.6588682133883461,20.0,-1198.7057355355564,-1.0155472840663187
2001,-0.9789427306484864,-2308.983374812898,0.0,528.3625795806512,130.5181552108849,2358.7194105014323,64.31328581774912,1715.5936660014327,63.999649492749114,16.1257445,0.313636325,0.0,0.0,627.0,0.0,4849.349054435288,0.5535786591821106,1000.0,975.0,29.0,0.0,0.0,245.63055081689728,221.74148896910725,180.56947940086894,0.464,180.56947940086894,0.0,660.6986409360438,0.5603718325755402,4858.218713994053,4858.218713994053,50.0,17520.0,438000.0,4784.501018763971,41.9457006,0.0,0.1467111358447488,66.20486939313578,8.385824453804869e-05,1651.1035873510027,143.95073478608722,0.91779439391965,0.9181833392433156,0.9182609348648887,20.0,-1018.2997238304442,-0.8641660774784694
