site,scenario_id,parameter_group,level,n_weather_years,NPV [MEuro] mean,NPV [MEuro] std,NPV [MEuro] p10,NPV [MEuro] p50,NPV [MEuro] p90,NPV_over_CAPEX mean,NPV_over_CAPEX std,NPV_over_CAPEX p10,NPV_over_CAPEX p50,NPV_over_CAPEX p90,IRR mean,IRR std,IRR p10,IRR p50,IRR p90,LCOE [Euro/MWh] mean,LCOE [Euro/MWh] std,LCOE [Euro/MWh] p10,LCOE [Euro/MWh] p50,LCOE [Euro/MWh] p90,Revenues [MEuro] mean,Revenues [MEuro] std,Revenues [MEuro] p10,Revenues [MEuro] p50,Revenues [MEuro] p90,LLCR [-] mean,LLCR [-] std,LLCR [-] p10,LLCR [-] p50,LLCR [-] p90
Sud_Atlantique_HiFiEMS,grid_connection_x0.90,grid_connection,0.9,34,-975.6236626325949,147.2571005804803,-1130.8988600403304,-1004.2459645172092,-742.7924072133121,-0.7097780014581053,0.10713131974320417,-0.8227425835129163,-0.7306010718764397,-0.5403904502146765,-0.03797782289953095,0.021290481203103985,-0.06373452194715891,-0.03975347484506092,-0.005322329736730883,59.56468786800127,1.9057812495122706,57.72441326856718,59.80227747447335,61.75630876067771,57.26166571264012,11.662740187987536,44.9630267297881,54.99396946282123,75.70530615755841,0.419534963246975,0.15494860109933567,0.25613795061511696,0.38940684961639266,0.6645731138063717
Sud_Atlantique_HiFiEMS,grid_connection_x1.10,grid_connection,1.1,34,-1026.2211261069483,147.29500364185725,-1181.5362964009005,-1054.8507981980777,-793.3299064432204,-0.7200300577291605,0.10334695639895702,-0.8290042234211206,-0.7401175651134065,-0.5566260173395134,-0.04017034364964322,0.021091996602242508,-0.06570627217207725,-0.041914918339232,-0.007827027899182262,61.31773839448755,1.9618703677869915,59.42330260541428,61.562320509434386,63.57386096252371,57.261665712640124,11.662740187987534,44.9630267297881,54.99396946282123,75.70530615755841,0.4046109441936251,0.14943665077891602,0.2470264152482405,0.3755545708975893,0.6409324099755643
Sud_Atlantique_HiFiEMS,grid_connection_x1.20,grid_connection,1.2,34,-1051.5225319469687,147.31296668096735,-1206.856646213288,-1080.1556969320307,-818.6028939976051,-0.7248891887379277,0.10155329406990711,-0.8319720297164752,-0.7446280636611209,-0.5643211340699739,-0.04123034887458534,0.020997336936616727,-0.06666087661338783,-0.042960185954991015,-0.009035889546763546,62.19426409147162,1.9899149408019585,60.27274769417816,62.44234246238593,64.48263751314667,57.261665712640124,11.662740187987536,44.9630267297881,54.99396946282123,75.70530615755841,0.39754014296391643,0.14682516221377861,0.24270949128517563,0.36899154594773875,0.629731759727096
Sud_Atlantique_HiFiEMS,pv_capex_x0.80,pv_capex,0.8,34,-948.5489257438672,146.82283592811655,-1103.3661441654249,-977.0867857202842,-716.4046955862581,-0.7045608461915758,0.10905670621116036,-0.8195556002371593,-0.7257581278791946,-0.5321293238954845,-0.036711704088651737,0.021406771411059962,-0.06259760345730733,-0.03850567264426441,-0.0038732773941267205,58.707846237063976,1.8783664711848722,56.89404409884123,58.94201810270352,60.86794053088979,57.261665712640124,11.662740187987536,44.9630267297881,54.99396946282123,75.70530615755841,0.4283381124516698,0.15819990498108913,0.2615125219709785,0.39757781723247004,0.6785179260169862
Sud_Atlantique_HiFiEMS,pv_capex_x0.90,pv_capex,0.9,34,-974.7239287714602,147.05378043893114,-1129.7847030910732,-1003.3066953734899,-742.2143344621825,-0.7098721501111395,0.10709635848760543,-0.8227998438047766,-0.7306884134499101,-0.5405400133266994,-0.03791364358530013,0.02129634632789478,-0.06367686146856852,-0.03969021742175066,-0.0052489246815343865,59.57450849701286,1.9060954620314423,57.73393048535976,59.812137275676804,61.76649072954504,57.26166571264013,11.662740187987536,44.9630267297881,54.99396946282123,75.70530615755841,0.4199779220964432,0.15511220094221514,0.25640838951020084,0.38981799820993557,0.6652747920159798
Sud_Atlantique_HiFiEMS,pv_capex_x1.10,pv_capex,1.1,34,-1027.1403548745366,147.491117585898,-1182.6623486124975,-1055.80816117429,-793.9388747182998,-0.7199426927065998,0.10337939877561084,-0.8289510890912235,-0.7400365168499974,-0.5564872303931232,-0.040231598102897156,0.02108650356607805,-0.06576141228980224,-0.04197531609561811,-0.007896920830777412,61.30795735531434,1.9615574219507208,59.41382375531635,61.5525004559839,63.5637200401618,57.261665712640124,11.662740187987536,44.9630267297881,54.99396946282123,75.70530615755841,0.40419979213077223,0.1492847982694491,0.2467753952952067,0.3751729449461556,0.64028111597007
Sud_Atlantique_HiFiEMS,pv_capex_x1.20,pv_capex,1.2,34,-1053.3794667540005,147.6983645259619,-1209.1200249523301,-1082.0875722082374,-819.8501133337312,-0.7247206993851516,0.1016158615348211,-0.8318695567745334,-0.7444717567386134,-0.5640534738702804,-0.0413501172754261,0.02098669432345789,-0.06676879018428152,-0.04307830080712277,-0.009172392902280438,62.174739452593634,1.9892902470109077,60.25382627674355,62.42273994429068,64.46239448543768,57.26166571264013,11.662740187987536,44.9630267297881,54.99396946282123,75.70530615755841,0.3967471058463373,0.14653226650125514,0.24222531971461964,0.36825545929790315,0.6284755327311035
Sud_Atlantique_HiFiEMS,solar_opex_x0.80,solar_opex,0.8,34,-987.8190198514721,147.27639347853565,-1143.1145637109294,-1016.4450732172182,-754.9572422519591,-0.7056366163773263,0.10520511741318316,-0.8165701172568101,-0.7260852927353489,-0.5392946108815866,-0.036949960256639096,0.020686324970816638,-0.061860503304333105,-0.03876219985666263,-0.005165418472703635,59.96793395763632,1.9186831694932622,58.11520091071196,60.207132018432205,62.1743918718194,57.261665712640124,11.662740187987534,44.9630267297881,54.99396946282123,75.70530615755841,0.4254664519551727,0.15214271945359917,0.2650283087513643,0.3958839122791594,0.6660673372260687
Sud_Atlantique_HiFiEMS,solar_opex_x0.90,solar_opex,0.9,34,-994.3702453709728,147.2763934785356,-1149.66578923043,-1022.9962987367192,-761.5084677714601,-0.7103164054032556,0.10520511741318313,-0.8212499062827394,-0.7307650817612785,-0.5439743999075162,-0.038010264649611616,0.02093372227165406,-0.06328075721866824,-0.03979741504099166,-0.0058750148543434445,60.204573469536605,1.9262544866748905,58.34452935126178,60.44471542999051,62.4197382890503,57.261665712640124,11.662740187987536,44.9630267297881,54.99396946282123,75.70530615755841,0.41870214006071654,0.15214271945359917,0.25826399685690826,0.3891196003847033,0.6593030253316126
Sud_Atlantique_HiFiEMS,solar_opex_x1.10,solar_opex,1.1,34,-1007.4726964099744,147.27639347853568,-1162.7682402694313,-1036.0987497757205,-774.6109188104616,-0.7196759834551146,0.10520511741318317,-0.8306094843345982,-0.7401246598131372,-0.553333977959375,-0.04017936267745099,0.021454625687132023,-0.06621311902977044,-0.04190946348547858,-0.007309277308410159,60.677852493337184,1.9413971210381462,58.803186232361384,60.91988225310712,62.91043112351209,57.261665712640124,11.662740187987536,44.9630267297881,54.99396946282123,75.70530615755841,0.4051735162718043,0.15214271945359914,0.244735373067996,0.3755909765957911,0.6457744015427004
